                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     83,                 1.2085,                 0.8234,                 1.1736,                0.38446,                0.84444,                0.42478,                0.25122,                 1.3868,                  3.353,                 1.5463,              0.0003764,              0.0003764,              0.0003764
                     84,                 1.1604,                0.74911,                 1.1658,                0.38312,                0.81111,                0.45914,                0.28114,                 1.3653,                 3.4953,                  1.545,              0.0003566,              0.0003566,              0.0003566
                     85,                 1.1731,                0.79033,                 1.1706,                0.40874,                    0.8,                0.44446,                0.28494,                 1.3154,                 3.3411,                 1.5136,              0.0003368,              0.0003368,              0.0003368
                     86,                 1.1489,                0.70717,                 1.1761,                0.39559,                0.82222,                0.43906,                 0.2743,                 1.3586,                 3.3549,                 1.5605,               0.000317,               0.000317,               0.000317
                     87,                 1.1739,                0.71122,                 1.1889,                0.40442,                0.81111,                0.44296,                0.27982,                 1.3525,                 3.6779,                 1.5471,              0.0002972,              0.0002972,              0.0002972
                     88,                 1.1393,                0.75069,                 1.1616,                0.39382,                0.85556,                0.44134,                0.26756,                 1.3695,                 3.5875,                 1.5311,              0.0002774,              0.0002774,              0.0002774
                     89,                 1.1269,                0.70239,                 1.1715,                0.40033,                0.82222,                0.45157,                0.28254,                 1.3413,                  3.665,                 1.5185,              0.0002576,              0.0002576,              0.0002576
                     90,                 1.1065,                0.76616,                 1.1273,                0.40492,                0.83924,                0.45174,                 0.2731,                 1.3998,                 3.5331,                 1.5616,              0.0002378,              0.0002378,              0.0002378
                     91,                 1.0656,                0.67597,                 1.1623,                0.40429,                0.83333,                0.44643,                0.27662,                 1.3549,                 3.3419,                 1.5298,               0.000218,               0.000218,               0.000218
                     92,                 1.0643,                0.71271,                 1.1559,                0.39328,                    0.9,                0.46023,                0.28521,                 1.3606,                 3.4683,                 1.5342,              0.0001982,              0.0001982,              0.0001982
                     93,                0.94158,                0.68604,                 1.0473,                0.38669,                0.92473,                0.46907,                 0.2961,                   1.35,                 3.4803,                 1.5475,              0.0001784,              0.0001784,              0.0001784
                     94,                 1.0089,                0.64544,                 1.1391,                0.40905,                0.84444,                0.48041,                0.29617,                  1.353,                 3.4766,                 1.5354,              0.0001586,              0.0001586,              0.0001586
                     95,                 1.0178,                0.67416,                 1.1258,                 0.4059,                0.83333,                 0.4776,                0.30046,                 1.3209,                 3.5704,                  1.501,              0.0001388,              0.0001388,              0.0001388
                     96,                 1.0846,                0.68462,                 1.1722,                0.39637,                    0.9,                0.46505,                0.28303,                   1.36,                   3.53,                 1.5401,               0.000119,               0.000119,               0.000119
                     97,                0.95588,                0.59879,                 1.0986,                 0.4097,                0.86371,                0.44643,                0.27265,                  1.299,                 3.4582,                 1.4955,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                 1.0471,                0.67685,                 1.1174,                0.40682,                0.85347,                0.46208,                0.28592,                 1.2863,                 3.4429,                 1.4718,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                0.96955,                0.63344,                 1.1211,                0.39749,                0.86667,                0.45299,                 0.2802,                 1.3068,                 3.4901,                 1.4859,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                0.98398,                0.61917,                 1.1629,                0.39632,                0.86805,                0.44529,                0.27452,                 1.3033,                 3.5159,                  1.494,               3.98e-05,               3.98e-05,               3.98e-05
